id,id,대분류,중분류,소분류,브랜드,human_imputed,human_imputed_proba,헤어타입,형태,특징,용량,unit,종류,효과,구성,두피타입,human,향계열,세트구성,사용부위,피부타입,인증,색상,부가기능,재질,사용시간,단계,생균,섭취량,제품용량,섭취횟수,섭취방법,원료명(식약처고시),주원료,MSM,분자량,수,중량,단백질성분,맛,포장unit,매수,무첨가,충전시간,전원방식,전원,품목,세트unit,용도,자외선차단지수,성분,사용가능,평량,정수과정,세탁기유형,겹수,HCA,열량,무게,개당열량,진동,제품크기,주성분,사이즈,가로사이즈,유발성분,단계별,고정방식,소비전력,롤수,길이,칫솔모타입,칫솔종류,칫솔헤드크기,적용모델,작동방식,디자인,안전,모드,칫솔모형태,회전,사용기간,와이어굵기,흡수,편의기능,몸무게(키즈),출시,헤드수,헤드종류,충전방식,추가구성,날수,전자동세정&충전,면도방식,헤드무빙,면도망,트리머,면도날종류,상태표시등,면도날,트리머(헤드교체),유형,분유성분,출시년도
10,10,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00003,남녀공용,0.562505066,손상모발용,오일형,윤기부여,,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00003,남녀공용,0.592856705,건성,오일형,윤기부여,100ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00003,남녀공용,0.997546494,모든모발용,크림형,머릿결개선,150ml,1개,일반샴푸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00003,미성년자,0.665836334,,크림형,,150ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,B002-C001-0002,B002-C002-0006,B002-C003-0032,B002-00005,미성년자,0.441649616,,,,,,,두피케어,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,B002-C001-0002,B002-C002-0006,B002-C003-0032,B002-00005,남녀공용,0.682248533,건성,오일형,윤기부여,100ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,B002-C001-0002,B002-C002-0006,B002-C003-0032,B002-00005,남녀공용,0.7696805,모든모발용,크림형,향,110ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,B002-C001-0002,B002-C002-0006,B002-C003-0032,B002-00005,남녀공용,0.876454771,모든모발용,오일형,윤기부여,,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00005,남녀공용,0.999569595,모든모발용,오일형,머릿결개선,200ml,1개,헤어오일,,본품,모든두피용,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,B002-C001-0002,B002-C002-0006,B002-C003-0032,B002-00005,미성년자,0.380833358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00005,남녀공용,0.940514743,모든모발용,크림형,영양공급,150ml,1개,일반샴푸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,B002-C001-0002,B002-C002-0006,B002-C003-0032,B002-00005,미성년자,0.440923989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,B002-C001-0002,B002-C002-0007,B002-C003-0039,B002-00005,남녀공용,0.505761504,모든모발용,크림형,향,110ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,B002-C001-0002,B002-C002-0006,B002-C003-0032,B002-00005,남녀공용,0.564755619,건성,오일형,윤기부여,100ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00005,남녀공용,0.579134881,손상모발용,오일형,윤기부여,,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00006,남녀공용,0.979830027,모든모발용,펌프형,머릿결개선,120ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,B002-C001-0002,B002-C002-0005,B002-C003-0025,B002-00007,남녀공용,0.456085086,모든모발용,,영양공급,135ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27,B002-C001-0001,B002-C002-0001,B002-C003-0001,B002-00008,남녀공용,0.997612834,모든모발용,리퀴드형,머릿결개선,100ml,1개,헤어세럼,,본품,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,B002-C001-0001,B002-C002-0001,B002-C003-0004,B002-00009,미성년자,0.396228492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,B002-C001-0002,B002-C002-0007,B002-C003-0036,B002-00010,남녀공용,0.507993281,모든모발용,,영양공급,120ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,B002-C001-0001,B002-C002-0001,B002-C003-0005,B002-00011,남녀공용,0.989726126,모든모발용,로션형,머릿결개선,200ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,B002-C001-0002,B002-C002-0007,B002-C003-0036,B002-00012,미성년자,0.474177629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32,B002-C001-0002,B002-C002-0005,B002-C003-0025,B002-00013,남녀공용,0.803803623,모든모발용,,촉촉함(수분공급),,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,34,B002-C001-0001,B002-C002-0001,B002-C003-0005,B002-00015,남녀공용,0.865291655,모든모발용,,촉촉함(수분공급),,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,35,B002-C001-0001,B002-C002-0001,B002-C003-0005,B002-00015,남녀공용,0.86534369,모든모발용,스프레이형,윤기부여,,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,36,B002-C001-0002,B002-C002-0003,B002-C003-0012,B002-00016,미성년자,0.643443108,,,촉촉함(수분공급),,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,37,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00017,남녀공용,0.824403942,가는,로션형,머릿결개선,450ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,38,B002-C001-0001,B002-C002-0001,B002-C003-0004,B002-00018,남녀공용,0.937609434,지성,크림형,머릿결개선,250ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,39,B002-C001-0002,B002-C002-0002,B002-C003-0011,B002-00020,남녀공용,0.950314224,모든모발용,,머릿결개선,178ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,40,B002-C001-0002,B002-C002-0002,B002-C003-0011,B002-00020,미성년자,0.519004643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,41,B002-C001-0002,B002-C002-0002,B002-C003-0011,B002-00020,남녀공용,0.822405457,,오일형,머릿결개선,50ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,42,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00021,남녀공용,0.798936903,,오일형,머릿결개선,50ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,43,B002-C001-0002,B002-C002-0004,B002-C003-0019,B002-00022,남녀공용,0.956006706,모든모발용,펌프형,머릿결개선,100ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,44,B002-C001-0002,B002-C002-0003,B002-C003-0016,B002-00024,남녀공용,0.918719053,모든모발용,,머릿결개선,,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,45,B002-C001-0002,B002-C002-0003,B002-C003-0016,B002-00024,남녀공용,0.884965718,가는,펌프형,머릿결개선,200ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,46,B002-C001-0002,B002-C002-0002,B002-C003-0009,B002-00025,남녀공용,0.332108825,손상모발용,,윤기부여,,12개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,47,B002-C001-0002,B002-C002-0002,B002-C003-0009,B002-00025,남녀공용,0.465186626,모든모발용,펌프형,향,80ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,48,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00026,남녀공용,0.640145302,모든모발용,스프레이형,향,130ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,49,B002-C001-0002,B002-C002-0002,B002-C003-0010,B002-00027,성인남녀,0.505579591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,50,B002-C001-0002,B002-C002-0002,B002-C003-0010,B002-00027,성인남녀,0.412459373,,오일형,윤기부여,,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,51,B002-C001-0002,B002-C002-0005,B002-C003-0025,B002-00027,남녀공용,0.570417225,모든모발용,크림형,향,150ml,1개,,리미티드에디션,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,52,B002-C001-0002,B002-C002-0002,B002-C003-0010,B002-00027,성인남녀,0.526743531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,53,B002-C001-0002,B002-C002-0003,B002-C003-0016,B002-00028,성인남녀,0.481985509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,54,B002-C001-0005,B002-C002-0011,B002-C003-0052,B002-00029,남녀공용,0.701589048,모든모발용,펌프형,향,200ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,55,B002-C001-0005,B002-C002-0011,B002-C003-0053,B002-00029,남녀공용,0.54717356,모든모발용,,향,150ml,1개,,,,,,,헤어에센스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,56,B002-C001-0005,B002-C002-0011,B002-C003-0053,B002-00029,남녀공용,0.932938516,모든모발용,펌프형,향,80ml,1개,일반샴푸,,,,,플로럴향,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,57,B002-C001-0005,B002-C002-0011,B002-C003-0053,B002-00029,남녀공용,0.95759207,모든모발용,펌프형,향,80ml,1개,일반샴푸,,,,,아로마향,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,58,B002-C001-0005,B002-C002-0011,B002-C003-0053,B002-00029,남녀공용,0.955467045,모든모발용,펌프형,향,80ml,1개,일반샴푸,,,,,플로럴향,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,59,B002-C001-0002,B002-C002-0006,B002-C003-0032,B002-00030,남녀공용,0.648871005,모든모발용,펌프형,향,80ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,60,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00030,미성년자,0.602843821,손상모발용,,향,80ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,61,B002-C001-0002,B002-C002-0002,B002-C003-0006,B002-00031,남녀공용,0.64989835,모든모발용,펌프형,향,80ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,62,B002-C001-0002,B002-C002-0002,B002-C003-0006,B002-00031,남녀공용,0.903473258,모든모발용,스프레이형,촉촉함(수분공급),140ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,63,B002-C001-0002,B002-C002-0002,B002-C003-0006,B002-00031,미성년자,0.493179113,,,촉촉함(수분공급),200ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,64,B002-C001-0002,B002-C002-0002,B002-C003-0007,B002-00031,미성년자,0.893583477,손상모발용,펌프형,영양공급,80ml,1개,,리미티드에디션,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,65,B002-C001-0002,B002-C002-0002,B002-C003-0006,B002-00031,미성년자,0.411486775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,66,B002-C001-0002,B002-C002-0002,B002-C003-0006,B002-00031,미성년자,0.475017399,,오일형,촉촉함(수분공급),,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,67,B002-C001-0002,B002-C002-0002,B002-C003-0006,B002-00031,남녀공용,0.64921385,모든모발용,,향,150ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,68,B002-C001-0001,B002-C002-0001,B002-C003-0001,B002-00035,미성년자,0.388380408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,69,B002-C001-0002,B002-C002-0005,B002-C003-0029,B002-00036,남녀공용,0.544271588,모든모발용,,,,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,70,B002-C001-0001,B002-C002-0001,B002-C003-0001,B002-00037,남녀공용,0.51983881,모든모발용,오일형,영양공급,15ml,6개,,,본품,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,71,B002-C001-0002,B002-C002-0007,B002-C003-0036,B002-00038,미성년자,0.808234692,,스프레이형,촉촉함(수분공급),,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,72,B002-C001-0002,B002-C002-0007,B002-C003-0036,B002-00038,미성년자,0.603310347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,73,B002-C001-0002,B002-C002-0007,B002-C003-0036,B002-00038,남녀공용,0.897305548,모든모발용,크림형,머릿결개선,230ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,74,B002-C001-0002,B002-C002-0009,B002-C003-0045,B002-00039,남녀공용,0.933179677,모든모발용,펌프형,머릿결개선,120ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,75,B002-C001-0002,B002-C002-0003,B002-C003-0015,B002-00040,남녀공용,0.958477557,모든모발용,오일형,머릿결개선,300ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,76,B002-C001-0003,B002-C002-0008,B002-C003-0044,B002-00042,미성년자,0.712658167,,,촉촉함(수분공급),,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,77,B002-C001-0001,B002-C002-0001,B002-C003-0001,B002-00043,미성년자,0.886462867,,펌프형,촉촉함(수분공급),110ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,78,B002-C001-0001,B002-C002-0001,B002-C003-0002,B002-00043,미성년자,0.89699024,,펌프형,,110ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,79,B002-C001-0001,B002-C002-0001,B002-C003-0002,B002-00043,미성년자,0.723956168,손상모발용,,촉촉함(수분공급),,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,80,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00043,미성년자,0.554367542,,,윤기부여,150ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,81,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00043,미성년자,0.643229425,건성,로션형,촉촉함(수분공급),,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
